adult,backdrop_path,id,title,original_title,overview,poster_path,media_type,original_language,genre_ids,popularity,release_date,softcore,video,vote_average,vote_count
False,/jzBWExXacS33rMQ2zLBrqIVweyG.jpg,1386315,The Runner,The Runner,"Maia Marten, a brilliant London lawyer, has her life shattered by a single call on her morning run: her son has been taken. To get him back, she must keep running, obey every ruthless command, and trust no one-each second a test of how far a mother will go to save her child.",/uxCaBoYXsDC4A0SqTm3SISj0OwK.jpg,movie,en,"[28, 53]",161.6957,2026-09-03,False,False,5.939,41
False,/7GOW6jod9lLurW5utokAatxg7ql.jpg,1204680,Coyote vs. Acme,Coyote vs. Acme,"After Acme products fail him one too many times in his dogged pursuit of the Roadrunner, Wile E. Coyote decides to hire a billboard lawyer to sue the Acme Corporation.",/vhv7lBWYM0DUuNU2a0V7Rhq21dD.jpg,movie,en,"[35, 12, 10751]",269.6047,2026-08-20,False,False,7.8,99
False,/rZfmzpixLKLR3Hg2u0WgC7XLFl8.jpg,1339713,Obsession,Obsession,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,movie,en,"[27, 53]",213.8596,2026-05-13,False,False,8.207,5245
False,/upecGaCuQOIbSpdz85mrJ395UMg.jpg,1731694,LEGO Star Wars: The Mandalorian,LEGO Star Wars: The Mandalorian,"The Mandalorian and Grogu join their misfit allies for an epic party, celebrating their heroism. As friends regale the crowd with tales of their adventures, a pirate threat looms.",/x3HEvYXWOW6WHqsHmg2MUVy3SLm.jpg,movie,en,"[16, 878, 12, 10751, 28]",32.3962,2026-09-02,False,False,8.5,4
False,/E812GNXYQqjJwN0cVPY3icHpaj.jpg,192139,The Brink of War,The Brink of War,"President Ronald Reagan races against time to salvage a deal with Soviet leader Mikhail Gorbachev that could dismantle nuclear arsenals—or ignite disaster. With pressure mounting on all sides, every word spoken brings the world closer to peace... or destruction.",/vCIQeQ2ynVqEjIvtbOXGnKtcgAX.jpg,movie,en,"[18, 36]",34.6514,2026-08-14,False,False,7.583,12
False,/RMXG8myu1aGlNUsRjtxzmpdMK0.jpg,1368337,The Odyssey,The Odyssey,"Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point.",/5rhTDKUhPYvpdQIijFIs5VoWsON.jpg,movie,en,"[12, 28, 14]",511.3743,2026-07-15,False,False,7.991,3410
False,/lBWfbmUj9Jw0EM1OYtDXr0B5FPW.jpg,1480574,Just Play Dead,Just Play Dead,A criminal mastermind plans to fake his death for insurance money while framing his wife's lover. His wife plots to kill him for real and take it all. Both race to outmanoeuvre each other in a deadly battle of wits.,/e0WaDBrrBAMcq2stAXCR7rXEsiw.jpg,movie,en,"[53, 80]",71.82,2026-08-28,False,False,6.8,19
False,/7iwUUcKURMT7aKfCwMy6YnGtchD.jpg,969681,Spider-Man: Brand New Day,Spider-Man: Brand New Day,Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.,/bjiS5ipwxb9JFy3XRRN4OAilSeX.jpg,movie,en,"[878, 28, 12]",901.1066,2026-07-29,False,False,7.875,2367
False,/xSJJQeAp9GBFmiKusysTRG6jQjt.jpg,860508,The Whisper Man,The Whisper Man,"When his young son vanishes, a widower enlists help from his estranged father, a retired detective who put away the serial killer now linked to the case.",/6UqflU8Qqkz7Dq4swJPqs0ZJjY4.jpg,movie,en,"[80, 18, 53]",225.3706,2026-08-27,False,False,6.6,309
False,/34z9eBtEBv6QoroLuUA55cU3e8Q.jpg,1288059,I Want Your Sex,I Want Your Sex,"When fresh-faced Elliot lands an exciting job for renowned artist, icon and provocateur Erika Tracy, his fantasies come true as Erika taps him to become her sexual muse. But Elliot soon finds himself out of his depth as Erika takes him on a journey more profound than he ever could have imagined, into a world of sex, obsession, power, betrayal and murder.",/pR7SIX3AwqdoD96OI44oLG98e7g.jpg,movie,en,[35],72.898,2026-07-29,False,False,6.288,33
False,/ddfXMkaPViSrg0P5aoYGFMc58x2.jpg,1423191,Resident Evil,Resident Evil,"Medical courier Bryan unwittingly finds himself fighting for survival as one fateful, horrifying night collapses around him in chaos.",/qku2uWSoJ9amQV5MWo1Eek29iji.jpg,movie,en,"[27, 878]",34.3275,2026-09-16,False,False,0.0,0
False,/z2Uf0yntMjY0XG87YfoqeHjIUGD.jpg,1752159,Turning Point: Generation 9/11,Turning Point: Generation 9/11,"A quarter-century after September 11th, the attacks' ripple effects persist across generations. Orphaned children, War on Terror journalists, young Afghans, and U.S. Marines shaped by the 2021 withdrawal share their stories.",/6DVDbbneXuhFHmqGvTVko2sVz0o.jpg,movie,en,[99],9.2737,2026-09-02,False,False,9.0,2
False,/wFKDH8nAz7l9iyVobjcNAPTrkNz.jpg,1228710,The Mandalorian and Grogu,The Mandalorian and Grogu,"The evil Empire has fallen, and Imperial warlords remain scattered throughout the galaxy. As the fledgling New Republic works to protect everything the Rebellion fought for, they have enlisted the help of legendary Mandalorian bounty hunter Din Djarin and his young apprentice Grogu.",/7GV5rrUJf0BRUhoh2cyFoeNthlQ.jpg,movie,en,"[28, 12, 878]",72.5705,2026-05-20,False,False,7.5,1444
False,/kkcwhgSFd81QDlXo8ytrpHPQjhy.jpg,1315772,Minions & Monsters,Minions & Monsters,"This is the rambunctious, ridiculous and totally true story of how the Minions conquered Hollywood, became movie stars, lost everything, unleashed monsters onto the world and then banded together to try and save the planet from the mayhem they had just created.",/4LwvU9SZc8QQzW1X1FAPhNbXnEU.jpg,movie,en,"[12, 16, 35, 10751, 14]",165.0525,2026-06-24,False,False,7.594,982
False,/qDa0fqDqIBCovRp975RvtGPcuN3.jpg,1288445,Mutiny,Mutiny,"After witnessing his billionaire boss' murder and being framed for the crime, Cole Reed boards a cargo ship on a one-man crusade to avenge his boss' death only to discover an international conspiracy.",/pu2VxGlpGwffOx292w18b1tv96j.jpg,movie,en,"[28, 53]",404.6106,2026-08-19,False,False,6.351,259
