OrderID,CustomerID,OrderDate,ProductID,Quantity,Discount,PaymentMethod,Status,Age,City,SignupDate,CustomerSegment,ProductName,Category,UnitPrice,Sales,OrderValue
500001,103695,8/28/2025,2003,4,10,Gateway,Completed,36,Qom,3/5/2024,Regular,USB-C Cable,Accessories,9,32,32
500002,107935,5/31/2024,2014,1,10,Wallet,Completed,49,Kerman,6/4/2025,Regular,Backpack,Accessories,42,38,38
500003,105141,8/10/2025,2002,1,20,CardToCard,Completed,36,Tehran,10/19/2025,Regular,Mechanical Keyboard,Electronics,62,50,50
500004,108780,10/11/2024,2012,1,10,Gateway,Completed,45,Shiraz,12/7/2023,Regular,Office Chair,Home Office,180,162,162
500005,101187,2/19/2024,2008,2,0,Gateway,Completed,24,Karaj,12/2/2023,Regular,Phone Case,Accessories,14,28,28
500006,105545,7/16/2024,2011,4,0,Gateway,Returned,28,Tehran,8/7/2024,New,Desk Lamp,Home Office,32,128,128
500007,106418,10/15/2025,2017,1,5,Wallet,Completed,23,Isfahan,3/9/2023,New,HDMI Cable,Accessories,11,10,10
500008,108755,12/3/2024,2014,1,0,Gateway,Completed,41,Mashhad,11/20/2025,Regular,Backpack,Accessories,42,42,42
500009,105133,4/15/2025,2004,1,10,Gateway,Completed,40,Isfahan,5/4/2025,New,Power Bank,Electronics,35,32,32
500010,103111,4/28/2024,2014,2,5,Gateway,Cancelled,43,Mashhad,6/20/2024,New,Backpack,Accessories,42,80,80
500011,102192,3/21/2024,2004,3,30,Gateway,Completed,37,Tehran,12/2/2023,New,Power Bank,Electronics,35,74,74
500012,102921,7/25/2024,2001,1,5,Wallet,Completed,,Tabriz,1/19/2024,VIP,Wireless Mouse,Electronics,18,17,17
500013,101803,2/12/2025,2005,3,10,CardToCard,Completed,39,Isfahan,10/31/2024,Regular,Laptop Stand,Accessories,28,76,76
500014,108853,1/1/2026,2001,2,5,CardToCard,Completed,44,Tehran,8/14/2025,New,Wireless Mouse,Electronics,18,34,34
500015,102106,10/21/2025,2017,1,0,Wallet,Completed,31,Tehran,12/10/2025,Regular,HDMI Cable,Accessories,11,11,11
500016,104175,5/18/2024,2002,3,0,Gateway,Completed,37,Rasht,5/20/2023,New,Mechanical Keyboard,Electronics,62,186,186
500017,101158,3/2/2024,2001,2,5,Gateway,Completed,58,Tehran,9/29/2024,VIP,Wireless Mouse,Electronics,18,34,34
500018,109942,7/13/2024,2013,2,0,Gateway,Completed,48,Rasht,9/13/2025,New,Notebook,Stationery,7,14,14
500019,104270,1/6/2026,2013,1,0,CardToCard,Completed,42,Ahvaz,10/20/2023,Regular,Notebook,Stationery,7,7,7
500020,109355,3/21/2025,2017,2,20,Cash,Completed,37,Rasht,5/3/2024,New,HDMI Cable,Accessories,11,18,18
500021,105138,11/28/2025,2017,2,0,Gateway,Completed,,Karaj,5/27/2023,Regular,HDMI Cable,Accessories,11,22,22
500022,105368,11/15/2024,2013,2,0,Gateway,Completed,45,Isfahan,9/4/2025,Regular,Notebook,Stationery,7,14,14
500023,108138,5/25/2025,2006,1,20,Cash,Completed,61,Tehran,8/30/2025,New,Webcam,Electronics,48,38,38
500024,107845,5/28/2025,2013,3,0,Gateway,Completed,26,Tehran,4/23/2024,Regular,Notebook,Stationery,7,21,21
500025,109039,6/25/2025,2013,1,15,Gateway,Completed,65,Ahvaz,1/1/2025,New,Notebook,Stationery,7,6,6
500026,107998,2/10/2025,2010,2,5,CardToCard,Completed,34,Mashhad,12/18/2024,New,Fitness Band,Wearables,55,104,104
500027,108982,7/25/2024,2006,2,10,Cash,Completed,43,Tehran,5/8/2024,Regular,Webcam,Electronics,48,86,86
500028,103563,1/5/2025,2002,1,0,Gateway,Completed,38,Ahvaz,4/11/2023,Regular,Mechanical Keyboard,Electronics,62,62,62
500029,100210,5/29/2026,2002,1,10,Wallet,Completed,55,Tehran,4/13/2024,Regular,Mechanical Keyboard,Electronics,62,56,56
500030,104615,8/23/2024,2019,2,5,CardToCard,Completed,44,Tehran,4/6/2024,VIP,Tablet,Electronics,260,494,494
500031,101683,9/18/2025,2011,2,0,Gateway,Completed,19,Shiraz,4/27/2025,Regular,Desk Lamp,Home Office,32,64,64
500032,109032,4/21/2026,2008,2,0,Wallet,Completed,32,Karaj,10/2/2023,Regular,Phone Case,Accessories,14,28,28
500033,107365,5/4/2025,2007,3,5,Gateway,Completed,65,Kerman,12/15/2025,Regular,Headphones,Electronics,75,214,214
500034,105082,2/26/2025,2004,2,5,Gateway,Completed,42,Tehran,11/2/2025,New,Power Bank,Electronics,35,66,66
500035,106013,4/14/2024,2008,5,10,Wallet,Completed,49,Tabriz,7/5/2024,Regular,Phone Case,Accessories,14,63,63
500037,107822,3/10/2026,2013,1,0,Gateway,Completed,42,Tehran,3/30/2023,VIP,Notebook,Stationery,7,7,7
500038,101279,6/6/2026,2001,4,15,Gateway,Completed,18,Karaj,6/4/2023,Regular,Wireless Mouse,Electronics,18,61,61
500039,107601,6/23/2024,2013,5,5,Gateway,Returned,24,Karaj,1/29/2023,New,Notebook,Stationery,7,33,33
500040,104265,3/21/2026,2011,4,10,Gateway,Cancelled,46,Tehran,7/30/2025,VIP,Desk Lamp,Home Office,32,115,115
500041,104458,11/16/2024,2010,2,30,Gateway,Completed,19,Tehran,10/27/2025,Regular,Fitness Band,Wearables,55,77,77
500042,104499,6/19/2025,2006,1,10,Gateway,Completed,29,Kerman,2/17/2023,Regular,Webcam,Electronics,48,43,43
500043,109584,7/12/2024,2020,1,0,Gateway,Completed,18,Tabriz,12/19/2024,Regular,Gaming Controller,Gaming,68,68,68
500044,104936,8/2/2024,2005,1,0,CardToCard,Completed,46,Mashhad,2/2/2024,Regular,Laptop Stand,Accessories,28,28,28
