id,title,poster_path,overview,adult,original_language,popularity,release_date,vote_average,vote_count
1288445,Mutiny,/aAnTt6KpmbbHbd6xH3FQFlppZjc.jpg,"After witnessing his billionaire boss' murder and being framed for the crime, Cole Reed boards a cargo ship on a one-man crusade to avenge his boss' death only to discover an international conspiracy.",False,en,502.0551,2026-08-19,6.688,157
969681,Spider-Man: Brand New Day,/bjiS5ipwxb9JFy3XRRN4OAilSeX.jpg,Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.,False,en,1380.7869,2026-07-29,7.9,2124
1212763,Evil Dead Burn,/uRxrNXQWkHoENm3nwVOZDYSCx2F.jpg,"After her husband's abrupt death, Alice seeks solace with his remaining family — descendants of a leading researcher on demonic possession. As her in-laws transform one by one into creatures that feed on fear, she comes to discover that the vows she took in life survive even in death.",False,en,124.2903,2026-07-07,7.8,1261
1368337,The Odyssey,/5rhTDKUhPYvpdQIijFIs5VoWsON.jpg,"Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point.",False,en,614.2746,2026-07-15,8.0,3154
1084244,Toy Story 5,/sfQtVlIHljToOwYjhe21KPGzZWK.jpg,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.",False,en,328.4932,2026-06-17,8.194,1580
1621552,Facing El Chapo,/alpf5v4UqSFawPmG9RX03Or4BDk.jpg,Two Mexican officers must survive the final hours of their shift after crossing a ruthless cartel boss.,False,es,259.4866,2026-08-21,7.515,66
1339713,Obsession,/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",False,en,278.924,2026-05-13,8.215,5020
1384216,The Dog Stars,/5O616X9vmRzQdB68PHzBewPittd.jpg,"After the world's population has been ravaged by a pandemic, a man lives a lonesome existence in a Colorado airplane hangar with his dog and a dour gunman he has befriended. When a mysterious transmission comes through on the radio while he’s flying his old Cessna, it sparks a hunt for the provenance of the sound.",False,en,22.0818,2026-08-26,7.2,4
1291595,Insidious: Out of the Further,/4tTrW9dXCByS5wt2pXVWb58zNjz.jpg,"Gemma, a young mother raising her daughter in the house she grew up in, discovers she can travel into The Further, where she possesses an ability to bring what lives there back to the real world.",False,en,106.5301,2026-08-19,6.6,52
1083381,Backrooms,/rhGx6E3qRNMgj3i5su2oukNHwIQ.jpg,A strange doorway appears in the basement of a furniture showroom.,False,en,133.9161,2026-05-27,7.095,2942
